,4*1 Mux,8*1 Mux,16*1 Mux,32*1 Mux,1*2 DeMux,1*4 DeMux,1*8 DeMux,1*16 DeMux,1*32 DeMux,Latch,Adder,Subtractor,Multiplier,Comparator,2*1 Mux,TSB chain,Inverter Chain,Up-counter,Tri-state buffer,2x1 Mux output acting as select line for another Mux,Extra_FU_Input,Memory,Inverter output acting as input to the TSB,Multiple instances of Nx1 Mux output acting as inputs to 2x1 Mux,Label,,
Covolutional layer-NoI,0,4,2,0,8,0,3,1,0,6,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,,
Covolutional layer-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,20,0,0,1,0,1,0,0,1,,
Covolutional layer-TI2,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,0,0,1,1,0,1,1,0,2,,
Covolutional layer-TI3,0,4,2,0,8,0,3,1,0,6,1,0,1,0,8,0,0,1,0,0,0,0,0,0,3,,
Covolutional layer-TI4,0,4,2,0,8,0,3,1,0,6,1,0,1,1,9,0,0,0,0,0,0,0,0,0,4,,
Covolutional layer-TI5,0,4,2,0,8,0,3,1,0,6,1,0,1,0,9,0,0,0,0,0,1,0,0,0,5,,
Covolutional layer-TI6,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,48,0,1,0,1,0,1,1,0,6,,
FIR-NoI,12,2,2,0,0,10,1,1,0,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,20,0,0,1,0,1,0,0,1,,
FIR-TI2,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,0,0,1,1,0,1,1,0,2,,
FIR-TI3,12,2,2,0,0,10,1,1,0,12,2,0,2,0,0,0,0,1,0,0,0,0,0,0,3,,
FIR-TI4,12,2,2,0,0,10,1,1,0,12,2,0,2,1,1,0,0,0,0,0,0,0,0,0,4,,
FIR-TI5,12,2,2,0,0,10,1,1,0,12,2,0,2,0,1,0,0,0,0,0,1,0,0,0,5,,
FIR-TI6,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,48,0,1,0,1,0,1,1,0,6,,
MESA-NoI,3,1,0,0,7,3,1,0,0,21,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,20,0,0,1,0,1,0,0,1,,
MESA-TI2,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,0,0,1,1,0,1,1,0,2,,
MESA-TI3,3,1,0,0,7,3,1,0,0,21,3,0,4,0,14,0,0,1,0,0,0,0,0,0,3,,
MESA-TI4,3,1,0,0,7,3,1,0,0,21,3,0,4,1,15,0,0,0,0,0,0,0,0,0,4,,
MESA-TI5,3,1,0,0,7,3,1,0,0,21,3,0,4,0,15,0,0,0,0,0,1,0,0,0,5,,
MESA-TI6,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,48,0,1,0,1,0,1,1,0,6,,
GLRT-NoI,6,0,0,0,2,5,0,0,0,9,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,20,0,0,1,0,1,0,0,1,,
GLRT-TI2,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,0,0,1,1,0,1,1,0,2,,
GLRT-TI3,6,0,0,0,2,5,0,0,0,9,2,0,1,0,4,0,0,1,0,0,0,0,0,0,3,,
GLRT-TI4,6,0,0,0,2,5,0,0,0,9,2,0,1,1,5,0,0,0,0,0,0,0,0,0,4,,
GLRT-TI5,6,0,0,0,2,5,0,0,0,9,2,0,1,0,5,0,0,0,0,0,1,0,0,0,5,,
GLRT-TI6,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,48,0,1,0,1,0,1,1,0,6,,
IIR-NoI,9,1,0,0,1,5,1,0,0,12,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,20,0,0,1,0,1,0,0,1,,
IIR-TI2,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,0,0,1,1,0,1,1,0,2,,
IIR-TI3,9,1,0,0,1,5,1,0,0,12,1,1,2,0,1,0,0,1,0,0,0,0,0,0,3,,
IIR-TI4,9,1,0,0,1,5,1,0,0,12,1,1,2,1,2,0,0,0,0,0,0,0,0,0,4,,
IIR-TI5,9,1,0,0,1,5,1,0,0,12,1,1,2,0,2,0,0,0,0,0,1,0,0,0,5,,
IIR-TI6,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,48,0,1,0,1,0,1,1,0,6,,
4DCT-NoI,2,0,0,0,8,1,0,0,0,9,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,20,0,0,1,0,1,0,0,1,,
4DCT-TI2,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,0,0,1,1,0,1,1,0,2,,
4DCT-TI3,2,0,0,0,8,1,0,0,0,9,1,0,2,0,10,0,0,1,0,0,0,0,0,0,3,,
4DCT-TI4,2,0,0,0,8,1,0,0,0,9,1,0,2,1,11,0,0,0,0,0,0,0,0,0,4,,
4DCT-TI5,2,0,0,0,8,1,0,0,0,9,1,0,2,0,11,0,0,0,0,0,1,0,0,0,5,,
4DCT-TI6,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,48,0,1,0,1,0,1,1,0,6,,
SF-NoI,11,0,0,0,10,7,0,0,0,18,4,0,2,0,12,0,0,0,0,0,0,0,0,0,0,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,20,0,0,1,0,1,0,0,1,,
SF-TI2,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,0,0,1,1,0,1,1,0,2,,
SF-TI3,11,0,0,0,10,7,0,0,0,18,4,0,2,0,12,0,0,1,0,0,0,0,0,0,3,,
SF-TI4,11,0,0,0,10,7,0,0,0,18,4,0,2,1,13,0,0,0,0,0,0,0,0,0,4,,
SF-TI5,11,0,0,0,10,7,0,0,0,18,4,0,2,0,13,0,0,0,0,0,1,0,0,0,5,,
SF-TI6,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,48,0,1,0,1,0,1,1,0,6,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,10,0,0,1,0,1,0,0,1,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,30,0,0,1,0,1,0,0,1,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,40,0,0,1,0,1,0,0,1,,
CNN-TI1,0,4,2,0,8,0,3,1,0,6,1,0,1,1,11,0,50,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,10,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,30,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,40,0,0,1,0,1,0,0,1,,
FIR-TI1,12,2,2,0,0,10,1,1,0,12,2,0,2,1,3,0,50,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,10,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,30,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,40,0,0,1,0,1,0,0,1,,
MESA-TI1,3,1,0,0,7,3,1,0,0,21,3,0,4,1,17,0,50,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,10,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,30,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,40,0,0,1,0,1,0,0,1,,
GLRT-TI1,6,0,0,0,2,5,0,0,0,9,2,0,1,1,7,0,50,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,10,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,30,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,40,0,0,1,0,1,0,0,1,,
IIR-TI1,9,1,0,0,1,5,1,0,0,12,1,1,2,1,4,0,50,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,10,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,30,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,40,0,0,1,0,1,0,0,1,,
4DCT-TI1,2,0,0,0,8,1,0,0,0,9,1,0,2,1,13,0,50,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,10,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,30,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,40,0,0,1,0,1,0,0,1,,
SF-TI1,11,0,0,0,10,7,0,0,0,18,4,0,2,1,15,0,50,0,0,1,0,1,0,0,1,,
8PointDCT-NoI,4,2,1,0,8,2,1,1,0,12,1,0,3,0,9,0,0,0,0,0,0,0,0,0,0,,
8PointDCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,20,0,0,1,0,1,0,0,1,,
8PointDCT-TI2,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,0,0,1,1,0,1,1,0,2,,
8PointDCT-TI3,4,2,1,0,8,2,1,1,0,12,1,0,3,0,9,0,0,1,0,0,0,0,0,0,3,,
8PointDCT-TI4,4,2,1,0,8,2,1,1,0,12,1,0,3,1,10,0,0,0,0,0,0,0,0,0,4,,
8PointDCT-TI5,4,2,1,0,8,2,1,1,0,12,1,0,3,0,10,0,0,0,0,0,1,0,0,0,5,,
8PointDCT-TI6,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,48,0,1,0,1,0,1,1,0,6,,
8DCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,10,0,0,1,0,1,0,0,1,,
8DCT-TI1,4,2,1,0,8,2,1,1,0,12,1,0,3,1,12,0,30,0,0,1,0,1,0,0,1,,
